Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Yellow Warbler,Setophaga petechia,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,2.5 - 5 min,Visualization,<= 50 Meters,FALSE,unknown,Mourning Dove,Zenaida macroura,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0082,Forest,2018,22-05-2018,06:02:00,06:12:00,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,unknown,Red-bellied Woodpecker,Melanerpes carolinus,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0082,Forest,2018,22-05-2018,06:02:00,06:12:00,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0082,Forest,2018,22-05-2018,06:02:00,06:12:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0082,Forest,2018,22-05-2018,06:02:00,06:12:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,unknown,Eastern Bluebird,Sialia sialis,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0082,Forest,2018,22-05-2018,06:02:00,06:12:00,1,0-2.5 min,Calling,<= 50 Meters,FALSE,unknown,Downy Woodpecker,Picoides pubescens,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0082,Forest,2018,22-05-2018,06:02:00,06:12:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0082,Forest,2018,22-05-2018,06:02:00,06:12:00,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,unknown,Carolina Wren,Thryothorus ludovicianus,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0082,Forest,2018,22-05-2018,06:02:00,06:12:00,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,unknown,Carolina Wren,Thryothorus ludovicianus,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0082,Forest,2018,22-05-2018,06:02:00,06:12:00,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,unknown,Baltimore Oriole,Icterus galbula,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0082,Forest,2018,22-05-2018,06:02:00,06:12:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,unknown,Northern Cardinal,Cardinalis cardinalis,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0082,Forest,2018,22-05-2018,06:02:00,06:12:00,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,unknown,Great Crested Flycatcher,Myiarchus crinitus,20.8,72.2,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Undetermined,Indigo Bunting,Passerina cyanea,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,unknown,Mourning Dove,Zenaida macroura,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,unknown,Northern Cardinal,Cardinalis cardinalis,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,unknown,Northern Cardinal,Cardinalis cardinalis,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,5 - 7.5 min,Calling,<= 50 Meters,FALSE,unknown,Blue-gray Gnatcatcher,Polioptila caerulea,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,2.5 - 5 min,Calling,<= 50 Meters,FALSE,unknown,Carolina Chickadee,Poecile carolinensis,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,5 - 7.5 min,Calling,<= 50 Meters,FALSE,unknown,Cedar Waxwing,Bombycilla cedrorum,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 1,ANTI-0078,Forest,2018,22-05-2018,07:21:00,07:31:00,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,21.7,75.8,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 1,ANTI-0025,Forest,2018,23-05-2018,08:28:00,08:38:00,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,unknown,Blue Jay,Cyanocitta cristata,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,TRUE
ANTI 1,ANTI-0025,Forest,2018,23-05-2018,08:28:00,08:38:00,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,FALSE
ANTI 1,ANTI-0025,Forest,2018,23-05-2018,08:28:00,08:38:00,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,unknown,American Goldfinch,Spinus tristis,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,TRUE
ANTI 1,ANTI-0025,Forest,2018,23-05-2018,08:28:00,08:38:00,1,0-2.5 min,Visualization,unknown,TRUE,unknown,Cedar Waxwing,Bombycilla cedrorum,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,TRUE
ANTI 1,ANTI-0025,Forest,2018,23-05-2018,08:28:00,08:38:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,TRUE
ANTI 1,ANTI-0025,Forest,2018,23-05-2018,08:28:00,08:38:00,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Indigo Bunting,Passerina cyanea,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,FALSE
ANTI 1,ANTI-0025,Forest,2018,23-05-2018,08:28:00,08:38:00,1,5 - 7.5 min,Visualization,unknown,TRUE,unknown,Red-winged Blackbird,Agelaius phoeniceus,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,FALSE
ANTI 1,ANTI-0025,Forest,2018,23-05-2018,08:28:00,08:38:00,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,unknown,Northern Mockingbird,Mimus polyglottos,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,TRUE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,unknown,Carolina Wren,Thryothorus ludovicianus,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,TRUE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,unknown,Eastern Tufted Titmouse,Baeolophus bicolor,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Male,Pileated Woodpecker,Dryocopus pileatus,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Undetermined,Pileated Woodpecker,Dryocopus pileatus,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,unknown,Northern Cardinal,Cardinalis cardinalis,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,TRUE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,0-2.5 min,Calling,<= 50 Meters,FALSE,unknown,Northern Cardinal,Cardinalis cardinalis,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,TRUE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,5 - 7.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Brown-headed Cowbird,Molothrus ater,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,unknown,Eastern Tufted Titmouse,Baeolophus bicolor,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,unknown,Cedar Waxwing,Bombycilla cedrorum,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,TRUE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,0-2.5 min,Calling,<= 50 Meters,FALSE,unknown,Blue-gray Gnatcatcher,Polioptila caerulea,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,TRUE
ANTI 1,ANTI-0052,Forest,2018,23-05-2018,09:26:00,09:36:00,1,5 - 7.5 min,Visualization,<= 50 Meters,FALSE,Male,Brown-headed Cowbird,Molothrus ater,27.5,62.9,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI 1,ANTI-0072,Forest,2018,23-05-2018,10:01:00,10:11:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,unknown,Cedar Waxwing,Bombycilla cedrorum,26.1,61.2,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,TRUE
ANTI 1,ANTI-0072,Forest,2018,23-05-2018,10:01:00,10:11:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,unknown,Carolina Wren,Thryothorus ludovicianus,26.1,61.2,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,TRUE
ANTI 1,ANTI-0072,Forest,2018,23-05-2018,10:01:00,10:11:00,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,unknown,Carolina Chickadee,Poecile carolinensis,26.1,61.2,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE
ANTI 1,ANTI-0072,Forest,2018,23-05-2018,10:01:00,10:11:00,1,0-2.5 min,Calling,<= 50 Meters,FALSE,unknown,Eastern Tufted Titmouse,Baeolophus bicolor,26.1,61.2,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,TRUE
ANTI 1,ANTI-0072,Forest,2018,23-05-2018,10:01:00,10:11:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,unknown,Northern Cardinal,Cardinalis cardinalis,26.1,61.2,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,TRUE
ANTI 1,ANTI-0072,Forest,2018,23-05-2018,10:01:00,10:11:00,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,unknown,Red-bellied Woodpecker,Melanerpes carolinus,26.1,61.2,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,TRUE
ANTI 1,ANTI-0072,Forest,2018,23-05-2018,10:01:00,10:11:00,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Red-eyed Vireo,Vireo olivaceus,26.1,61.2,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE
ANTI 1,ANTI-0072,Forest,2018,23-05-2018,10:01:00,10:11:00,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,unknown,Eastern Bluebird,Sialia sialis,26.1,61.2,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,TRUE
ANTI 1,ANTI-0072,Forest,2018,23-05-2018,10:01:00,10:11:00,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,unknown,Unidentified Chickadee,Poecile,26.1,61.2,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,unknown,Eastern Tufted Titmouse,Baeolophus bicolor,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,unknown,Acadian Flycatcher,Empidonax virescens,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,unknown,Acadian Flycatcher,Empidonax virescens,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,unknown,American Goldfinch,Spinus tristis,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,2.5 - 5 min,Calling,<= 50 Meters,FALSE,unknown,Blue-gray Gnatcatcher,Polioptila caerulea,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,unknown,Brown-headed Cowbird,Molothrus ater,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,unknown,Carolina Wren,Thryothorus ludovicianus,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,unknown,Eastern Tufted Titmouse,Baeolophus bicolor,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,unknown,Hairy Woodpecker,Picoides villosus,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Indigo Bunting,Passerina cyanea,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,unknown,Northern Cardinal,Cardinalis cardinalis,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,unknown,Red-bellied Woodpecker,Melanerpes carolinus,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,7.5 - 10 min,Calling,50 - 100 Meters,FALSE,unknown,Red-bellied Woodpecker,Melanerpes carolinus,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Red-eyed Vireo,Vireo olivaceus,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Undetermined,Yellow-throated Vireo,Vireo flavifrons,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI 1,ANTI-0092,Forest,2018,24-05-2018,07:09:00,07:19:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,14,87.4,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
ANTI 2,ANTI-0190,Forest,2018,24-05-2018,08:34:00,08:44:00,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,unknown,Carolina Wren,Thryothorus ludovicianus,27.3,52.9,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 2,ANTI-0190,Forest,2018,24-05-2018,08:34:00,08:44:00,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Undetermined,Song Sparrow,Melospiza melodia,27.3,52.9,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI 2,ANTI-0190,Forest,2018,24-05-2018,08:34:00,08:44:00,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,unknown,Red-bellied Woodpecker,Melanerpes carolinus,27.3,52.9,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
